Date,Open,High,Low,Close,Volume
12/31/2025,"619.65","619.96","614.05","614.31","40,746,527"
12/30/2025,"619.84","622.18","619.22","619.43","31,226,750"
12/29/2025,"620.10","622.78","618.73","620.87","32,458,311"
12/26/2025,"624.66","625.52","623.14","623.89","28,959,779"
12/24/2025,"621.99","624.28","621.72","623.93","18,468,711"
12/23/2025,"618.20","622.41","617.78","622.11","41,120,449"
12/22/2025,"621.35","621.65","617.77","619.21","43,703,102"
12/19/2025,"611.95","617.62","611.87","617.05","60,369,832"
12/18/2025,"609.80","612.93","606.92","609.11","78,875,820"
12/17/2025,"613.06","613.65","600.28","600.41","70,654,328"
12/16/2025,"608.26","613.51","606.91","611.75","55,152,820"
12/15/2025,"618.37","618.42","609.32","610.54","49,538,199"
12/12/2025,"622.08","623.54","611.36","613.62","75,158,727"
12/11/2025,"623.82","625.78","617.72","625.58","58,272,840"
12/10/2025,"623.85","629.21","620.99","627.61","55,031,379"
12/09/2025,"623.01","625.87","621.00","625.05","37,156,000"
12/08/2025,"627.21","628.84","621.69","624.28","43,462,406"
12/05/2025,"624.38","628.92","623.71","625.48","53,614,168"
12/04/2025,"624.93","624.94","619.54","622.94","47,067,754"
12/03/2025,"619.62","624.22","618.03","623.52","47,841,633"
12/02/2025,"619.46","623.75","617.59","622.00","54,541,832"
12/01/2025,"613.63","619.44","612.52","617.17","40,390,800"
11/28/2025,"616.11","619.32","615.42","619.25","23,019,700"
11/26/2025,"612.51","616.19","610.39","614.27","42,393,602"
11/25/2025,"603.51","610.26","597.32","608.89","57,560,871"
11/24/2025,"595.28","606.68","595.16","605.16","60,168,152"
11/21/2025,"587.47","596.98","580.74","590.07","103,344,203"
11/20/2025,"611.62","614.03","584.75","585.67","117,743,203"
11/19/2025,"597.07","606.16","594.59","599.87","73,111,484"
11/18/2025,"599.62","602.31","591.34","596.31","83,327,281"
11/17/2025,"606.30","612.48","599.87","603.66","63,850,367"
11/14/2025,"599.55","613.35","597.17","608.86","80,087,289"
11/13/2025,"617.54","618.12","606.08","608.40","71,333,633"
11/12/2025,"624.84","624.86","617.81","621.08","47,444,379"
11/11/2025,"620.57","622.72","617.52","621.57","44,868,840"
11/10/2025,"618.92","624.31","616.89","623.23","55,919,930"
11/07/2025,"608.31","609.95","598.67","609.74","81,835,391"
11/06/2025,"621.79","622.04","610.30","611.67","72,115,125"
11/05/2025,"618.49","626.60","617.21","623.28","48,688,480"
11/04/2025,"623.28","626.95","618.46","619.25","63,830,770"
11/03/2025,"635.11","635.82","629.85","632.08","37,154,312"
10/31/2025,"634.17","634.20","626.69","629.07","66,305,148"
10/30/2025,"632.17","633.50","625.94","626.05","61,628,621"
10/29/2025,"635.59","637.01","630.25","635.77","67,422,805"
10/28/2025,"630.36","634.68","629.25","632.92","61,195,727"
10/27/2025,"624.52","628.55","624.03","628.09","54,098,609"
10/24/2025,"615.99","618.42","615.13","617.10","47,632,473"
10/23/2025,"604.91","611.37","604.52","610.58","42,844,301"
10/22/2025,"610.82","611.41","599.74","605.49","61,478,801"
10/21/2025,"611.64","612.72","609.32","611.38","44,538,160"
10/20/2025,"607.14","612.80","607.07","611.54","45,761,699"
10/17/2025,"597.95","605.51","596.37","603.93","72,024,875"
10/16/2025,"605.11","608.31","595.50","599.99","70,981,961"
10/15/2025,"604.01","606.70","595.93","602.22","62,805,461"
10/14/2025,"595.31","602.69","590.13","598.00","69,203,195"
10/13/2025,"599.68","602.95","597.23","602.01","65,872,578"
10/10/2025,"611.40","613.18","589.05","589.50","97,614,781"
10/09/2025,"611.48","611.61","607.48","610.70","45,550,961"
10/08/2025,"605.41","611.75","605.26","611.44","50,629,754"
10/07/2025,"609.02","609.71","603.03","604.51","58,209,461"
10/06/2025,"608.45","609.36","605.97","607.71","41,962,121"
10/03/2025,"606.51","607.33","601.39","603.18","46,482,102"
10/02/2025,"607.06","607.16","602.93","605.73","43,765,406"
10/01/2025,"597.17","603.79","596.34","603.25","46,899,609"
09/30/2025,"598.43","600.71","596.10","600.37","46,533,809"
09/29/2025,"599.11","602.05","597.41","598.73","48,332,930"
09/26/2025,"594.35","596.30","591.06","595.97","54,337,422"
09/25/2025,"592.20","595.12","588.50","593.53","70,920,211"
09/24/2025,"599.58","599.90","593.36","596.10","49,850,301"
09/23/2025,"602.37","602.57","596.98","598.20","64,635,488"
09/22/2025,"597.74","602.87","597.72","602.20","57,154,770"
09/19/2025,"597.33","600.05","595.85","599.35","58,196,113"
09/18/2025,"594.91","598.14","592.96","595.32","61,069,289"
09/17/2025,"591.10","591.75","584.37","590.00","69,384,812"
09/16/2025,"592.61","592.86","590.49","591.18","36,942,129"
09/15/2025,"588.44","591.79","588.30","591.68","44,360,320"
09/12/2025,"585.04","587.86","584.10","586.66","50,745,887"
09/11/2025,"583.24","584.88","581.62","584.08","44,745,770"
09/10/2025,"583.74","583.77","578.55","580.70","49,307,961"
09/09/2025,"579.67","580.94","577.04","580.51","44,007,594"
09/08/2025,"578.37","580.84","577.77","578.87","46,371,352"
09/05/2025,"580.49","581.12","571.53","576.06","68,342,531"
09/04/2025,"570.74","575.60","569.03","575.23","47,526,281"
09/03/2025,"569.23","571.70","566.73","570.07","54,230,207"
09/02/2025,"561.31","565.97","559.54","565.62","65,876,766"
08/29/2025,"574.66","575.03","568.54","570.40","56,030,406"
08/28/2025,"574.11","578.00","572.46","577.08","46,787,859"
08/27/2025,"571.59","574.41","570.37","573.49","36,927,141"
08/26/2025,"569.83","572.92","568.80","572.61","34,103,008"
08/25/2025,"570.40","573.29","569.16","570.32","34,044,754"
08/22/2025,"564.67","573.99","563.27","571.97","51,502,129"
08/21/2025,"564.35","566.49","560.98","563.28","46,436,898"
08/20/2025,"568.33","568.45","558.84","565.90","76,781,086"
08/19/2025,"576.39","576.56","568.25","569.28","53,752,641"
08/18/2025,"576.44","577.77","575.24","577.11","29,830,961"
08/15/2025,"579.80","579.84","575.57","577.34","49,480,160"
08/14/2025,"578.28","581.88","577.91","579.89","45,425,039"
08/13/2025,"582.76","583.32","578.94","580.34","41,209,289"
08/12/2025,"575.16","580.35","572.49","580.05","42,271,441"
08/11/2025,"574.69","576.80","571.57","572.85","33,112,922"
08/08/2025,"570.45","574.77","570.15","574.55","35,255,473"
08/07/2025,"571.67","573.32","565.11","569.24","44,462,969"
08/06/2025,"561.11","567.76","560.63","567.32","41,823,680"
08/05/2025,"565.39","566.56","559.73","560.27","48,666,641"
08/04/2025,"559.05","564.32","558.95","564.10","47,669,754"
08/01/2025,"558.83","559.02","551.68","553.88","69,400,789"
07/31/2025,"574.54","574.63","563.87","565.01","64,613,594"
07/30/2025,"568.18","570.62","565.05","568.02","43,433,781"
07/29/2025,"570.76","572.11","566.53","567.26","45,463,320"
07/28/2025,"567.74","569.04","566.87","568.14","31,498,740"
07/25/2025,"564.93","567.70","564.27","566.37","30,630,811"
07/24/2025,"565.13","566.24","563.30","565.01","42,275,539"
07/23/2025,"562.34","563.85","559.58","563.81","40,215,262"
07/22/2025,"564.30","564.35","558.61","561.25","43,270,648"
07/21/2025,"562.09","566.06","562.06","564.17","39,595,207"
07/18/2025,"563.12","564.73","559.98","561.26","50,484,699"
07/17/2025,"558.02","562.31","557.21","561.80","40,423,781"
07/16/2025,"557.28","560.21","551.56","557.29","52,314,711"
07/15/2025,"560.25","560.80","556.66","556.72","43,277,660"
07/14/2025,"553.99","556.95","551.63","556.21","36,453,312"
07/11/2025,"553.30","555.79","552.05","554.20","39,618,641"
07/10/2025,"556.89","557.30","552.75","555.45","34,710,910"
07/09/2025,"554.48","557.63","553.10","556.25","43,045,527"
07/08/2025,"553.38","554.01","551.10","552.34","36,153,262"
07/07/2025,"553.52","554.34","549.58","552.03","45,349,320"
07/03/2025,"553.18","557.20","553.18","556.22","26,443,520"
07/02/2025,"546.16","551.00","546.12","550.80","36,538,281"
07/01/2025,"549.73","550.71","544.66","546.99","56,166,738"
